Bank Ticker,BAC,BAC,BAC,BAC,BAC,C,C,C,C,C,GS,GS,GS,GS,GS,JPM,JPM,JPM,JPM,JPM,MS,MS,MS,MS,MS,WFC,WFC,WFC,WFC,WFC
Stock Info,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-07,13.543,13.597000000000001,13.356,13.366,72303680,42.143,42.196000000000005,41.657,41.685,13203096,148.09,148.35,146.18,146.18,2637271,58.768,59.028999999999996,58.398999999999994,58.417,11031336,24.398000000000003,24.426,24.028000000000002,24.046,10955751,43.963,43.963,43.566,43.566,17653213
2016-06-06,13.449000000000002,13.690999999999999,13.383,13.525,86892652,41.547,42.343999999999994,41.383,41.868,18921974,147.2,148.77,146.74,147.96,2694011,58.043,59.047,58.005,58.617,14683173,24.136,24.49,24.070999999999998,24.345,11206641,43.538000000000004,44.083,43.496,43.757,16763850
2016-06-03,13.468,13.505,13.216,13.43,159481857,41.292,41.739,40.504,41.547,40370781,146.83,147.46,144.95,146.64,4594565,57.69,58.236999999999995,57.062,58.043,22564942,24.119,24.162,23.583000000000002,24.061999999999998,16060722,43.479,43.6,42.993,43.496,29351720
2016-06-02,13.923,13.953,13.755999999999998,13.914000000000001,69024034,42.894,43.076,42.655,42.992,16911267,150.87,151.05,149.27,150.05,2393829,58.83,59.092,58.506,59.092,11833455,24.896,24.98,24.680999999999997,24.734,8908883,44.163000000000004,44.294,43.946999999999996,44.294,16383971
2016-06-01,13.597000000000001,13.877,13.459000000000001,13.84,67027432,42.143,43.01,41.629,42.965,18803156,148.76,151.26,146.97,150.72,2737054,58.148999999999994,59.18899999999999,57.699,58.983999999999995,15564484,24.581,24.998,24.182,24.924,12325134,43.556000000000004,44.231,43.479,44.199,19342950
2016-05-31,13.952,13.970999999999998,13.673,13.728,92188285,42.912,42.928999999999995,42.388999999999996,42.628,23381557,151.12,152.28,149.34,150.25,3092116,59.019,59.101000000000006,58.328,58.608000000000004,16860353,25.061,25.271,24.697,24.818,14032345,44.217,44.363,43.757,43.955,22745459
2016-05-27,13.700999999999999,13.812000000000001,13.637,13.812000000000001,67184948,42.324,42.718999999999994,42.178000000000004,42.637,15117482,149.49,151.12,149.14,150.3,2290535,58.553000000000004,58.776,58.409,58.75,11265837,24.886,25.061,24.761999999999997,24.962,11201388,43.85,44.076,43.757,44.068000000000005,15496921
2016-05-26,13.904000000000002,13.913,13.637,13.647,70291569,43.058,43.13,42.168,42.206,18519589,151.21,151.36,149.31,149.36,2745596,58.876999999999995,58.886,58.284,58.388999999999996,10493889,25.304000000000002,25.304000000000002,24.798000000000002,24.86,11096291,43.781000000000006,43.903,43.678000000000004,43.809,17276451
2016-05-25,13.765999999999998,14.061,13.765999999999998,13.85,133041689,42.278999999999996,43.57,42.278999999999996,42.965,26159037,148.29,152.26,148.26,151.29,3474634,58.309,59.441,58.292,58.83,21088220,25.034000000000002,25.648000000000003,25.024,25.186,17488712,42.968,44.051,42.907,43.766000000000005,25937982
2016-05-24,13.552,13.690999999999999,13.487,13.627,103533451,41.601000000000006,42.278999999999996,41.474,41.976000000000006,20723575,147.0,148.76,146.77,147.87,3239510,57.411,58.158,57.295,57.949,15387992,24.517,25.072,24.445,24.851,19881078,42.507,42.787,42.196999999999996,42.638000000000005,19143083
2016-05-23,13.495999999999999,13.552,13.367,13.431,71314375,41.052,41.354,40.796,41.292,16414932,144.91,146.43,144.23,145.84,2949692,56.973,57.351000000000006,56.711999999999996,56.982,10392650,24.228,24.426,24.119,24.326,9826509,42.256,42.361000000000004,41.902,42.203,12281938
2016-05-20,13.588,13.647,13.394,13.478,86018682,41.574,41.831,40.998000000000005,41.1,21424150,146.13,146.74,144.4,144.97,3460169,57.341,57.637,56.898999999999994,57.025,13093099,24.345,24.635,24.182,24.27,15785972,42.13399999999999,42.647,42.083999999999996,42.248000000000005,15257482
2016-05-19,13.547,13.797,13.394,13.487,114196419,41.739,42.16,40.85,41.244,25163062,148.87,150.07,144.97,145.15,5015108,57.042,57.665,56.479,56.917,17896085,24.544,24.798000000000002,23.973000000000003,24.128,12668926,41.98,42.43,41.736999999999995,41.928000000000004,15682423
2016-05-18,13.014000000000001,13.690999999999999,13.005,13.637,163308146,40.048,42.23,40.048,41.986000000000004,41118052,145.25,150.12,145.1,150.06,3882830,55.401,57.618,55.391000000000005,57.501000000000005,26775551,23.746,24.743000000000002,23.738000000000003,24.697,22428537,41.318999999999996,42.222,41.27,42.161,34634306
2016-05-17,12.892000000000001,13.115,12.825999999999999,13.005,82084193,39.423,40.174,39.185,39.998000000000005,21781274,145.19,147.39,144.26,145.1,2877255,55.157,55.81399999999999,54.908,55.364,13563401,23.646,24.08,23.529,23.719,15888047,41.718,41.747,41.206,41.27,24791466
2016-05-16,12.825999999999999,13.014000000000001,12.81,12.93,62213947,39.46,39.815,39.305,39.498000000000005,18744287,145.74,147.2,145.05,145.78,3384734,54.96,55.657,54.773999999999994,55.364,12189330,23.448,23.953000000000003,23.438000000000002,23.764,10822759,41.702,42.144,41.543,41.831,22665876
2016-05-13,13.133,13.338,12.874,12.884,92781290,40.257,40.796,39.361,39.46,21227003,148.13,149.84,145.67,145.74,2717702,55.401,56.03,54.79,54.951,16840023,23.746,24.162,23.474,23.474,14737273,42.551,42.838,41.78,41.806999999999995,29125310
2016-05-12,13.276,13.431,13.043,13.124,77809665,41.043,41.345,40.065,40.275,16988126,150.42,151.48,147.59,148.3,2608908,55.91,56.173,55.105,55.464,12246498,24.08,24.237,23.546999999999997,23.781999999999996,10834390,42.76,42.968,42.501999999999995,42.638000000000005,15680984
